1772	954	7
1223	278	1
1362	899	4
1449	594	9
1799	33	5
1968	119	3
1735	235	5
1022	493	3
1983	401	2
1716	864	1
1044	496	2
1005	812	1
1044	856	5
1812	845	4
1777	697	2
1735	361	1
1998	441	8
1262	868	5
1830	508	4
1045	961	2
1306	106	5
1851	581	1
1564	388	5
1714	380	2
1366	488	5
1730	990	4
1744	829	2
1144	354	3
1495	810	6
1105	520	1
1111	495	9
1997	126	8
1192	978	9
1862	963	9
1532	415	2
1353	335	9
1209	84	7
1632	921	9
1702	300	9
1610	220	3
1315	618	1
1691	149	9
1699	275	3
1942	967	4
1659	242	3
1441	641	7
1774	193	7
1032	494	1
1804	694	3
1791	25	4
1068	137	1
1214	859	5
1142	254	4
1575	651	7
1884	120	2
1980	535	8
1628	256	7
1573	895	4
1815	442	8
1313	957	9
